wp,activity,start_date,end_date
Compulsory MDP Modules,Monash Graduate Research Induction,2019-06,2019-06
Compulsory MDP Modules,Research Induction,2019-06,2019-06
Compulsory MDP Modules,Faculty Induction,2019-06,2019-06
Ethics Clearance,Ethics Clearance,2019-06,2019-06
Study 2,Preparing the Intelligent Lab,2019-09,2019-12
Study 2,Planing the study Design,2019-09,2019-11
Study 2,Scheduling  the participants,2019-12,2021-06
Study 2,Study2: Analysing & Presenting  the data ,2021-06,2021-08
Study 3,Study-3 Protocol ,2020-03,2020-06
Study 3,Preparing the classrooms,2020-03,2021-12
Study 3,Campaign for recruiting participants,2020-04,2021-12
Study 3,Conduction of the experiemnt,2021-12,2022-03
Study 3,Study-3:Data Analysis,2022-03,2022-06
Study 3,Study-3:Report,2022-06,2022-08
Study 1,Study-1 Protocol,2021-05,2021-07
Study 1,Preparing the questionnaire,2021-05,2021-07
Study 1,Stydy-1:Data Collection,2021-07,2021-12
Study 1,Study-1:Data Analysis,2021-09,2021-12
Study 1,Study-1:Report ,2022-01,2022-03
Final Thesis Write-UP,Final Thesis Write-UP,2022-06,2022-08
Professional Development Activities,Professional Development Activities,2019-06,2021-12
Milestone,Six month review,2019-12,2019-12
Milestone,COC,2020-05,2020-05
Milestone,MCR,2021-11,2021-11
Milestone,PSS,2022-08,2022-08
